SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
made,21400395,"DEC 20, 2014 - UTA @ CHA",A,L,-18,3,2,190,12.1,0,0.9,6.6,2,"Kidd-Gilchrist, Michael",203077,1.2,rudy gobert,203497
missed,21400494,"JAN 02, 2015 - LAL vs. MEM",H,L,-3,1,1,681,0.0,0,4.5,3.1,2,"Gasol, Marc",201188,1.4,jordan hill,201941
made,21400433,"DEC 26, 2014 - ORL vs. CLE",H,L,-9,9,3,653,7.8,0,0.7,24.9,3,"James, LeBron",2544,5.7,tobias harris,202699
missed,21400101,"NOV 10, 2014 - CHI vs. DET",H,W,11,5,4,480,13.3,0,0.8,23.5,3,"Singler, Kyle",202713,3.3,kirk hinrich,2550
made,21400571,"JAN 13, 2015 - UTA vs. GSW",H,L,-11,7,3,121,24.0,0,0.0,0.7,2,"Speights, Marreese",201578,2.8,rudy gobert,203497
made,21400345,"DEC 13, 2014 - MEM @ PHI",A,W,5,6,3,593,13.7,0,0.7,2.5,2,"Noel, Nerlens",203457,0.2,zach randolph,2216
made,21400010,"OCT 29, 2014 - NYK vs. CHI",H,L,-24,7,3,78,14.7,0,3.6,17.7,2,"Gasol, Pau",2200,4.6,jason smith,201160
missed,21400539,"JAN 09, 2015 - PHI @ BKN",A,W,2,4,2,418,24.0,0,0.1,1.1,2,"Morris, Darius",202721,5.7,michael carter-williams,203487
missed,21400116,"NOV 12, 2014 - BKN @ PHX",A,L,-8,10,4,2,0.0,7,4.7,14.2,2,"Morris, Markieff",202693,5.5,bojan bogdanovic,202711
made,21400521,"JAN 06, 2015 - DET @ SAS",A,W,1,2,1,293,22.8,0,0.6,6.7,2,"Ayres, Jeff",201965,5.0,andre drummond,203083
missed,21400236,"NOV 29, 2014 - NOP @ WAS",A,L,-3,11,3,560,7.9,2,3.4,6.9,2,"Humphries, Kris",2743,3.3,anthony davis,203076
made,21400313,"DEC 09, 2014 - MIA @ PHX",A,W,6,4,1,306,12.0,3,3.3,8.9,2,"Plumlee, Miles",203101,1.8,chris bosh,2547
made,21400362,"DEC 15, 2014 - LAC vs. DET",H,W,22,2,1,164,20.6,3,3.4,4.1,2,"Smith, Josh",2746,1.8,blake griffin,201933
